fn,adult,name,date_recorded,call_type,rendition_num
WhiBlu4818_110404-DC-02.wav,True,blabla0506,2011-03-02,Wsst,04
BluRas61dd_110502-AggC-15.wav,True,blabla0506,2011-03-02,Wsst,05
LblRed0613_110920-So-37.wav,True,blabla0506,2011-03-02,Distance,01
LblBla4548_130416-So-02.wav,True,blabla0506,2011-03-02,Distance,02
LblRed0613_110920-NestC-48.wav,True,blabla0506,2011-03-02,Distance,05
BluRas61dd_110406-TetC-18.wav,True,blabla0506,2011-03-02,Distance,06
GraLbl0457_110429-Song-04.wav,True,blabla0506,2011-03-02,Distance,08
YelOra2575_110630-TukC-16.wav,True,blabla0506,2011-03-02,Distance,10
LblRed0613_110920-NestSeq-60.wav,True,blabla0506,2011-03-02,Distance,11
WhiRas44dd_110620-DC-13.wav,True,blabla0506,2011-03-02,Distance,12
BluRas07dd_110429-DC-25.wav,True,blabla0506,2011-03-02,Distance,13
YelGre5275_110615-TetC-03.wav,True,blabla0506,2011-03-02,Distance,14
WhiBlu4818_110405-ThuC-03.wav,True,blabla0506,2011-03-02,Distance,15
LblRed0613_110920-WhineC-07.wav,True,blabla0506,2011-03-02,Distance,16
WhiBlu5698_110404-NeKakleC-15.wav,True,blabla0506,2011-03-02,Nest,02
GreOra1817_110701-TukC-04.wav,True,blabla0506,2011-03-02,Nest,03
HPiHPi4748_110616-TetC-18.wav,True,blabla0506,2011-03-02,Nest,04
HpiHpi4748_110620-Song-13acut.wav,True,blabla0506,2011-03-02,Nest,05
HPiHPi4748_110706-AggC-33.wav,True,blabla0506,2011-03-02,Nest,05a
BluRas61dd_110406-TetC-15.wav,True,blabla0506,2011-03-02,Nest,05b
Unknown_110405-ThuC-10.wav,True,blabla0506,2011-03-02,Nest,05c
GraGra0201_110706-DC-47.wav,True,blabla0506,2011-03-02,Nest,05d
HPiHPi4748_110616-TetC-16.wav,True,blabla0506,2011-03-02,Nest,07
LblBla4419_130416-Ne-02.wav,True,blabla0506,2011-03-02,Nest,07a
Unknown_110302-AggC-01.wav,True,blabla0506,2011-03-02,Nest,07c
BluRas07dd_110511-NestC-08.wav,True,blabla0506,2011-03-02,Nest,07d
LblRed0613_110920-TetC-29.wav,True,blabla0506,2011-03-02,Nest,08
GreOra1817_110728-DC-02.wav,True,blabla0506,2011-03-02,Nest,09
HPiHPi4748_110706-WhineC-24.wav,True,blabla0506,2011-03-02,Nest,10
PurRas20dd_110411-TetC-05.wav,True,blabla0506,2011-03-02,Nest,11
WhiBlu4818_110328-Song-04.wav,True,blabla0506,2011-03-02,Nest,12
LblBla4419_130416-Wh-06.wav,True,blabla0506,2011-03-02,Nest,12a
WhiRas44dd_110616-TetC-05.wav,True,blabla0506,2011-03-02,Nest,12b
BluRas07dd_110608-TukC-24.wav,True,blabla0506,2011-03-02,Nest,12c
LblRed0613_110920-NestC-41.wav,True,blabla0506,2011-03-02,Nest,13
WhiLbl0010_110607-TukC-02.wav,True,blabla0506,2011-03-02,Nest,13a
LblBla4419_130416-Ne-11.wav,True,blabla0506,2011-03-02,Nest,13b
BlaLbl8026_110429-DC-38.wav,True,blabla0506,2011-03-02,Nest,13c
GreGre6364_130416-Te-20.wav,True,blabla0506,2011-03-02,Nest,02
LblRed0613_110923-WhineC-18.wav,True,blabla0506,2011-03-02,Nest,04
HPiHPi4748_110701-TukC-10.wav,True,blabla0506,2011-03-02,Nest,09
HPiHPi4748_110706-NestC-47.wav,True,blabla0506,2011-03-02,Nest,09a
WhiBlu5698_110404-Song-12.wav,True,blabla0506,2011-03-02,Nest,09c
LblBla4548_130503-Te-29.wav,True,blabla0506,2011-03-02,Nest,09d
WhiGra0114_110405-DC-14.wav,True,blabla0506,2011-03-02,Tet,05
WhiBlu4818_110404-AggC-05.wav,True,blabla0506,2011-03-02,Tet,06
LblBla4419_130416-DC-27.wav,True,blabla0506,2011-03-02,Tet,08
WhiGra0114_110329-ThuckC-01.wav,True,blabla0506,2011-03-02,Tet,09
BluRas07dd_110607-NestSeq-20.wav,True,blabla0506,2011-03-02,Tet,10
LblRed0613_111018-AggC-35.wav,True,blabla0506,2011-03-02,Tet,11
LblBla4548_130417-DC-21.wav,True,blabla0506,2011-03-02,Tet,12
BluRas61dd_110422-Song-10.wav,True,blabla0506,2011-03-02,Tet,13
WhiRas44dd_110620-DC-07.wav,True,blabla0506,2011-03-02,Tet,14
BlaLbl8026_110425-Tet-14.wav,True,blabla0506,2011-03-02,Tet,15
HpiHpi4748_110620-Song-15icut.wav,True,blabla0506,2011-03-02,Tet,16
LblRed0613_111121-ThukC-12.wav,True,blabla0506,2011-03-02,Tet,17
YelGre5275_110615-TetC-19.wav,True,blabla0506,2011-03-02,Tet,22
WhiBlu4818_110329-TetC-11.wav,True,blabla0506,2011-03-02,Whine,02
LblRed0613_111006-DC-04.wav,True,blabla0506,2011-03-02,Whine,06
LblBla4548_130416-Ne-40.wav,True,blabla0506,2011-03-02,Whine,10
GreOra1817_110729-ThukC-48.wav,True,blabla0506,2011-03-02,Whine,12
LblRed0613_111013-DC-27.wav,True,blabla0506,2011-03-02,Whine,13
WhiRas44dd_110616-TetC-29.wav,True,blabla0506,2011-03-04,Wsst,07
WhiWhi1415_110404-ThuC-09.wav,True,blabla0506,2011-03-04,Wsst,09
HPiHPi4748_110728-WhineC-27.wav,True,blabla0506,2011-03-04,Wsst,10
BluRas61dd_110425-Song-14.wav,True,blabla0506,2011-03-04,Distance,18
LblRed0613_111202-DC-37.wav,True,blabla0506,2011-03-04,Distance,19
LblRed0613_110920-WhineC-01.wav,True,blabla0506,2011-03-04,Distance,20
GraLbl0457_110603-Song-13.wav,True,blabla0506,2011-03-04,Distance,21
HPiHPi4748_110706-NestC-32.wav,True,blabla0506,2011-03-04,Distance,22
GreGre6364_130416-Te-08.wav,True,blabla0506,2011-03-04,Distance,24
PurRas20dd_110411-TetC-04.wav,True,blabla0506,2011-03-04,Distance,25
LblRed0613_110920-NestSeq-36.wav,True,blabla0506,2011-03-04,Distress,01
BlaLbl8026_110429-AggC-04.wav,True,blabla0506,2011-03-04,Nest,16
PurRas20dd_110411-TetC-15.wav,True,blabla0506,2011-03-04,Nest,16a
HPiHPi4748_110801-ThuckC-28.wav,True,blabla0506,2011-03-04,Nest,16b
BlaBla0506_110302-TetC-10.wav,True,blabla0506,2011-03-04,Nest,16c
WhiBlu4818_110329-TetC-18.wav,True,blabla0506,2011-03-04,Nest,16d
YelGre5275_110620-Song-30.wav,True,blabla0506,2011-03-04,Song,06
BluRas61dd_110511-Song-19.wav,True,blabla0506,2011-03-04,Song,08
BlaBla0506_110304-DC-21.wav,True,blabla0506,2011-03-04,Thuk,01
WhiRas44dd_110706-NestC-08.wav,True,blabla0506,2011-03-04,Thuk,02
GraGra0201_110616-TukC-01.wav,True,blabla0506,2011-03-04,Thuk,03
LblBla4419_130416-DC-18.wav,True,blabla0506,2011-03-04,Thuk,04
BluRas07dd_110425-DC-08.wav,True,blabla0506,2011-03-04,Thuk,05
WhiBlu5698_110304-NeKakleC-04.wav,True,blabla0506,2011-03-04,Whine,14
PurRas20dd_110429-DC-11.wav,True,blabla0506,2011-03-28,Whine,15
PurRas20dd_110429-DC-14.wav,True,blabla0506,2011-03-28,Whine,16
YelGre5275_110701-DC-18.wav,True,blabla0506,2011-03-28,Whine,18
LblRed0613_110922-AggC-11.wav,True,blabla0506,2011-04-04,Wsst,12
HPiHPi4748_110616-TetC-28.wav,True,blabla0506,2011-04-04,Distance,26
GraGra0201_110630-DC-26.wav,True,blabla0506,2011-04-04,Song,12
LblRed0613_110920-WhineC-05.wav,True,blabla0506,2011-04-05,Song,15
GreOra1817_110615-TetC-02.wav,True,blalbl8026,2011-04-21,Distance,01
GraGra0201_110620-TetC-25.wav,True,blalbl8026,2011-04-21,Tet,03
LblBla4419_130416-DC-10.wav,True,blalbl8026,2011-04-21,Tet,04
WhiLbl0010_110425-Tet-20.wav,True,blalbl8026,2011-04-21,Tet,06
WhiBlu4917_110328-DC-19.wav,True,blalbl8026,2011-04-22,Tet,07
HPiHPi4748_110616-TetC-26.wav,True,blalbl8026,2011-04-22,Tet,08
BlaLbl8026_110609-WhineC-07.wav,True,blalbl8026,2011-04-22,Tet,09
LblBla4419_130416-Ne-10.wav,True,blalbl8026,2011-04-22,Tet,10
WhiWhi1415_110329-DC-02.wav,True,blalbl8026,2011-04-22,Tet,11
GreGre2522_130416-Te-19.wav,True,blalbl8026,2011-04-22,Tet,13
GreOra1817_110729-ThukC-43.wav,True,blalbl8026,2011-04-25,Wsst,02
BluRas07dd_110607-TukC-10.wav,True,blalbl8026,2011-04-25,Tet,14
HPiHPi4748_110706-AggC-28.wav,True,blalbl8026,2011-04-27,Wsst,03
WhiLbl0010_110607-TukC-12.wav,True,blalbl8026,2011-04-28,Distance,02
WhiBlu4818_110329-TetC-20.wav,True,blalbl8026,2011-04-28,Tet,18
HPiHPi4748_110914-ThuckC-18.wav,True,blalbl8026,2011-04-28,Tet,20
BluRas61dd_110607-TukC-02.wav,True,blalbl8026,2011-04-28,Tet,21
GraGra0201_110623-NestCSeq-36.wav,True,blalbl8026,2011-04-28,Tet,22
GraLbl0457_110411-TetC-06.wav,True,blalbl8026,2011-04-29,Wsst,04
WhiRas44dd_110815-ThuckC-49.wav,True,blalbl8026,2011-04-29,Distance,05
LblRed0613_110920-So-29.wav,True,blalbl8026,2011-04-29,Distance,06
HPiHPi4748_110706-NestC-27.wav,True,blalbl8026,2011-04-29,Distance,08
LblRed0613_111202-TukC-01.wav,True,blalbl8026,2011-04-29,Distance,12
WhiRas44dd_110815-ThuckC-17.wav,True,blalbl8026,2011-04-29,Distance,15
PurRas20dd_110429-DC-08.wav,True,blalbl8026,2011-04-29,Distance,18
YelGre5275_110629-TukC-13.wav,True,blalbl8026,2011-04-29,Distance,19
LblBla4548_130416-Te-02.wav,True,blalbl8026,2011-04-29,Distance,23
LblBla4548_130417-So-21.wav,True,blalbl8026,2011-04-29,Distance,24
Unknown00F_110329-DC-11.wav,True,blalbl8026,2011-04-29,Distance,25
WhiWhi1415_110404-DisC-02.wav,True,blalbl8026,2011-04-29,Distance,26
HPiHPi4748_110914-ThuckC-19.wav,True,blalbl8026,2011-04-29,Distance,28
WhiLbl0010_110421-DC-04.wav,True,blalbl8026,2011-04-29,Distance,29
BluRas07dd_110513-AggC-10.wav,True,blalbl8026,2011-04-29,Distance,30
WhiLbl0010_110608-TukC-26.wav,True,blalbl8026,2011-04-29,Distance,31
PurRas20dd_110411-TetC-29.wav,True,blalbl8026,2011-04-29,Distance,32
WhiRas44dd_110620-DC-12.wav,True,blalbl8026,2011-04-29,Distance,33
WhiRas44dd_110815-ThuckC-32.wav,True,blalbl8026,2011-04-29,Distance,34
HPiHPi4748_110616-AggC-13.wav,True,blalbl8026,2011-04-29,Distance,35
WhiBlu5698_110405-ThuC-07.wav,True,blalbl8026,2011-04-29,Distance,36
LblBla4419_130416-Ne-03.wav,True,blalbl8026,2011-04-29,Distance,37
LblBla4548_130418-DC-39.wav,True,blalbl8026,2011-04-29,Distance,38
LblRed0613_111013-DC-26.wav,True,blalbl8026,2011-04-29,Tet,23
HPiHPi4748_110701-TukC-21.wav,True,blalbl8026,2011-05-02,Wsst,06
HPiHPi4748_110627-NestCSeq-04.wav,True,blalbl8026,2011-06-06,Distress,01
HPiHPi4748_110616-Song-02.wav,True,blalbl8026,2011-06-06,Nest,02
BlaBla0506_110302-WhineC-02.wav,True,blalbl8026,2011-06-06,Nest,08
YelOra2575_110623-TukC-06.wav,True,blalbl8026,2011-06-06,Nest,09
LblBla4548_130418-So-45.wav,True,blalbl8026,2011-06-06,Nest,10
BlaBla0506_110302-NestC-04.wav,True,blalbl8026,2011-06-07,Wsst,20
LblBla4548_130417-So-20.wav,True,blalbl8026,2011-06-07,Distress,02
BluRas61dd_110421-DC-28.wav,True,blalbl8026,2011-06-07,Distress,03
WhiRas44dd_110815-ThuckC-42.wav,True,blalbl8026,2011-06-07,Tuck,05
WhiRas44dd_110616-TetC-21.wav,True,blalbl8026,2011-06-08,Nest,13
GraGra0201_110623-NestCSeq-26.wav,True,blalbl8026,2011-06-08,Nest,14
WhiBlu5698_110404-WhineC-11.wav,True,blalbl8026,2011-06-08,Tuck,06
HPiHPi4748_110706-WhineC-10.wav,True,blalbl8026,2011-06-08,Tuck,07
BluRas61dd_110429-DC-36.wav,True,blalbl8026,2011-06-08,Tuck,08
LblRed0613_110923-WhineC-41.wav,True,blalbl8026,2011-06-08,Tuck,09
YelOra2575_110615-TetC-28.wav,True,blalbl8026,2011-06-08,Tuck,10
GreOra1817_110615-TetC-15.wav,True,blalbl8026,2011-06-08,Tuck,11
LblBla4548_130418-So-44.wav,True,blalbl8026,2011-06-08,Tuck,12
BlaLbl8026_110606-NestC-08.wav,True,blalbl8026,2011-06-09,Wsst,21
BlaBla0506_110302-NekakleC-05a.wav,True,blalbl8026,2011-06-09,Wsst,22
Unknown000_110405-ThuC-02.wav,True,blalbl8026,2011-06-09,Wsst,23
HPiHPi4748_110616-TetC-21.wav,True,blalbl8026,2011-06-09,Wsst,24
GraGra0201_110907-ThuckC-20.wav,True,blalbl8026,2011-06-09,Nest,19
GreOra1817_110729-ThukC-38.wav,True,blalbl8026,2011-06-09,Nest,21
YelOra2575_110630-Song-25.wav,True,blalbl8026,2011-06-09,Nest,22
HPiHPi4748_110627-NestC-15.wav,True,blalbl8026,2011-06-09,Nest,23
LblBla4548_130416-NeSeq-44.wav,True,blalbl8026,2011-06-09,Nest,24
LblRed0613_110920-NestC-28.wav,True,blalbl8026,2011-06-09,Nest,25
GreGre6364_130416-DC-01.wav,True,blalbl8026,2011-06-09,Nest,26
GraLbl0457_110414-TetC-14.wav,True,blalbl8026,2011-06-09,Nest,27
GreGre2522_130416-Te-08.wav,True,blalbl8026,2011-06-09,Nest,28
LblRed0613_110920-So-30.wav,True,blalbl8026,2011-06-09,Nest,29
GraGra0201_110617-TetC-11.wav,True,blalbl8026,2011-06-09,Nest,30b
YelOra2575_110629-DC-17.wav,True,blalbl8026,2011-06-09,Nest,31a
BlaBla0506_110304-Song-06.wav,True,blalbl8026,2011-06-09,Nest,31b
LblBlu1729_110225-Beggseq-07.wav,True,blalbl8026,2011-06-09,Nest,32B
BluRas61dd_110518-NestC-51.wav,True,blalbl8026,2011-06-09,Nest,32a
WhiRas44dd_110815-ThuckC-15.wav,True,blalbl8026,2011-06-09,Nest,34
LblBla4548_130503-Te-31.wav,True,blalbl8026,2011-06-09,Nest,35
LblBla4548_130416-Ne-25.wav,True,blalbl8026,2011-06-09,Whine,32c
WhiRas44dd_110701-DC-28.wav,True,blalbl8026,2011-06-09,Whine,07
WhiLbl0010_110425-Tet-22.wav,True,blalbl8026,2011-06-09,Whine,08
HPiHPi4748_110701-TukC-26.wav,True,blalbl8026,2011-06-09,Whine,09
HPiHPi4748_110622-Song-21.wav,True,bluras07dd,2011-04-06,Tet,01
GreGre2522_130416-Te-13.wav,True,bluras07dd,2011-04-06,Tet,02
YelGre5275_110728-ThuckC-39.wav,True,bluras07dd,2011-04-06,Tet,06
WhiRas44dd_110620-DC-14.wav,True,bluras07dd,2011-04-06,Tet,07
WhiRas44dd_110706-NestCSeq-02.wav,True,bluras07dd,2011-04-06,Tet,08
YelGre5275_110616-Song-06.wav,True,bluras07dd,2011-04-06,Tet,09
LblRed0613_111013-DC-14.wav,True,bluras07dd,2011-04-06,Tet,10
GreOra1817_110701-TukC-05.wav,True,bluras07dd,2011-04-06,Tet,11
HPiHPi4748_110627-NestCSeq-14.wav,True,bluras07dd,2011-04-06,Tet,12
WhiWhi1415_110302-TetC-13.wav,True,bluras07dd,2011-04-06,Tet,13
YelGre5275_110728-ThuckC-40.wav,True,bluras07dd,2011-04-06,Tet,14
YelGre5275_110620-AggC-11.wav,True,bluras07dd,2011-04-06,Tet,15
YelGre5275_110623-NestCSeq-31.wav,True,bluras07dd,2011-04-06,Tet,16
WhiWhi1415_110302-TetC-05.wav,True,bluras07dd,2011-04-07,Distance,01
BluRas07dd_110407-TetC-19.wav,True,bluras07dd,2011-04-07,Distance,03
WhiBlu5698_110329-TetC-23.wav,True,bluras07dd,2011-04-07,Distance,04
YelGre5275_110615-DC-03.wav,True,bluras07dd,2011-04-07,Distance,05
LblBla4548_130417-DC-20.wav,True,bluras07dd,2011-04-07,Tet,17
BluRas61dd_110406-TetC-11.wav,True,bluras07dd,2011-04-07,Tet,18
GraGra0201_110617-TukC-13.wav,True,bluras07dd,2011-04-07,Tet,19
YelOra2575_110629-DC-23.wav,True,bluras07dd,2011-04-11,Tet,20
YelGre5275_110615-TetC-13.wav,True,bluras07dd,2011-04-11,Tet,21
BluRas07dd_110607-TukC-23.wav,True,bluras07dd,2011-04-11,Tet,22
BluRas61dd_110407-DC-02.wav,True,bluras07dd,2011-04-18,Distance,06
BluRas61dd_110607-TukC-04.wav,True,bluras07dd,2011-04-21,Distance,07
YelGre5275_110801-ThuckC-43.wav,True,bluras07dd,2011-04-21,Tet,26
WhiLbl0010_110606-NestC-02.wav,True,bluras07dd,2011-04-21,Tet,27
YelGre5275_110729-ThuckC-29.wav,True,bluras07dd,2011-04-21,Tet,29
GreOra1817_110728-ThukC-21.wav,True,bluras07dd,2011-04-25,Distance,08
