fn,adult,name,date_recorded,call_type,rendition_num
WhiBlu4818_110404-DC-02.wav,True,WhiBlu4818,2011-04-04,DC,02
BluRas61dd_110502-AggC-15.wav,True,BluRas61dd,2011-05-02,AggC,15
LblRed0613_110920-So-37.wav,True,LblRed0613,2011-09-20,So,37
LblBla4548_130416-So-02.wav,True,LblBla4548,2013-04-16,So,02
LblRed0613_110920-NestC-48.wav,True,LblRed0613,2011-09-20,NestC,48
BluRas61dd_110406-TetC-18.wav,True,BluRas61dd,2011-04-06,TetC,18
GraLbl0457_110429-Song-04.wav,True,GraLbl0457,2011-04-29,Song,04
YelOra2575_110630-TukC-16.wav,True,YelOra2575,2011-06-30,TukC,16
LblRed0613_110920-NestSeq-60.wav,True,LblRed0613,2011-09-20,NestSeq,60
WhiRas44dd_110620-DC-13.wav,True,WhiRas44dd,2011-06-20,DC,13
BluRas07dd_110429-DC-25.wav,True,BluRas07dd,2011-04-29,DC,25
YelGre5275_110615-TetC-03.wav,True,YelGre5275,2011-06-15,TetC,03
WhiBlu4818_110405-ThuC-03.wav,True,WhiBlu4818,2011-04-05,ThuC,03
LblRed0613_110920-WhineC-07.wav,True,LblRed0613,2011-09-20,WhineC,07
WhiBlu5698_110404-NeKakleC-15.wav,True,WhiBlu5698,2011-04-04,NeKakleC,15
GreOra1817_110701-TukC-04.wav,True,GreOra1817,2011-07-01,TukC,04
HPiHPi4748_110616-TetC-18.wav,True,HPiHPi4748,2011-06-16,TetC,18
HpiHpi4748_110620-Song-13acut.wav,True,HpiHpi4748,2011-06-20,Song,13acut
HPiHPi4748_110706-AggC-33.wav,True,HPiHPi4748,2011-07-06,AggC,33
BluRas61dd_110406-TetC-15.wav,True,BluRas61dd,2011-04-06,TetC,15
Unknown_110405-ThuC-10.wav,True,Unknown,2011-04-05,ThuC,10
GraGra0201_110706-DC-47.wav,True,GraGra0201,2011-07-06,DC,47
HPiHPi4748_110616-TetC-16.wav,True,HPiHPi4748,2011-06-16,TetC,16
LblBla4419_130416-Ne-02.wav,True,LblBla4419,2013-04-16,Ne,02
Unknown_110302-AggC-01.wav,True,Unknown,2011-03-02,AggC,01
BluRas07dd_110511-NestC-08.wav,True,BluRas07dd,2011-05-11,NestC,08
LblRed0613_110920-TetC-29.wav,True,LblRed0613,2011-09-20,TetC,29
GreOra1817_110728-DC-02.wav,True,GreOra1817,2011-07-28,DC,02
HPiHPi4748_110706-WhineC-24.wav,True,HPiHPi4748,2011-07-06,WhineC,24
PurRas20dd_110411-TetC-05.wav,True,PurRas20dd,2011-04-11,TetC,05
WhiBlu4818_110328-Song-04.wav,True,WhiBlu4818,2011-03-28,Song,04
LblBla4419_130416-Wh-06.wav,True,LblBla4419,2013-04-16,Wh,06
WhiRas44dd_110616-TetC-05.wav,True,WhiRas44dd,2011-06-16,TetC,05
BluRas07dd_110608-TukC-24.wav,True,BluRas07dd,2011-06-08,TukC,24
LblRed0613_110920-NestC-41.wav,True,LblRed0613,2011-09-20,NestC,41
WhiLbl0010_110607-TukC-02.wav,True,WhiLbl0010,2011-06-07,TukC,02
LblBla4419_130416-Ne-11.wav,True,LblBla4419,2013-04-16,Ne,11
BlaLbl8026_110429-DC-38.wav,True,BlaLbl8026,2011-04-29,DC,38
GreGre6364_130416-Te-20.wav,True,GreGre6364,2013-04-16,Te,20
LblRed0613_110923-WhineC-18.wav,True,LblRed0613,2011-09-23,WhineC,18
HPiHPi4748_110701-TukC-10.wav,True,HPiHPi4748,2011-07-01,TukC,10
HPiHPi4748_110706-NestC-47.wav,True,HPiHPi4748,2011-07-06,NestC,47
WhiBlu5698_110404-Song-12.wav,True,WhiBlu5698,2011-04-04,Song,12
LblBla4548_130503-Te-29.wav,True,LblBla4548,2013-05-03,Te,29
WhiGra0114_110405-DC-14.wav,True,WhiGra0114,2011-04-05,DC,14
WhiBlu4818_110404-AggC-05.wav,True,WhiBlu4818,2011-04-04,AggC,05
LblBla4419_130416-DC-27.wav,True,LblBla4419,2013-04-16,DC,27
WhiGra0114_110329-ThuckC-01.wav,True,WhiGra0114,2011-03-29,ThuckC,01
BluRas07dd_110607-NestSeq-20.wav,True,BluRas07dd,2011-06-07,NestSeq,20
LblRed0613_111018-AggC-35.wav,True,LblRed0613,2011-10-18,AggC,35
LblBla4548_130417-DC-21.wav,True,LblBla4548,2013-04-17,DC,21
BluRas61dd_110422-Song-10.wav,True,BluRas61dd,2011-04-22,Song,10
WhiRas44dd_110620-DC-07.wav,True,WhiRas44dd,2011-06-20,DC,07
BlaLbl8026_110425-Tet-14.wav,True,BlaLbl8026,2011-04-25,Tet,14
HpiHpi4748_110620-Song-15icut.wav,True,HpiHpi4748,2011-06-20,Song,15icut
LblRed0613_111121-ThukC-12.wav,True,LblRed0613,2011-11-21,ThukC,12
YelGre5275_110615-TetC-19.wav,True,YelGre5275,2011-06-15,TetC,19
WhiBlu4818_110329-TetC-11.wav,True,WhiBlu4818,2011-03-29,TetC,11
LblRed0613_111006-DC-04.wav,True,LblRed0613,2011-10-06,DC,04
LblBla4548_130416-Ne-40.wav,True,LblBla4548,2013-04-16,Ne,40
GreOra1817_110729-ThukC-48.wav,True,GreOra1817,2011-07-29,ThukC,48
LblRed0613_111013-DC-27.wav,True,LblRed0613,2011-10-13,DC,27
WhiRas44dd_110616-TetC-29.wav,True,WhiRas44dd,2011-06-16,TetC,29
WhiWhi1415_110404-ThuC-09.wav,True,WhiWhi1415,2011-04-04,ThuC,09
HPiHPi4748_110728-WhineC-27.wav,True,HPiHPi4748,2011-07-28,WhineC,27
LblBlu1630_110225-LTC-06.wav,True,LblBlu1630,2011-02-25,LTC,06
BluRas61dd_110425-Song-14.wav,True,BluRas61dd,2011-04-25,Song,14
LblRed0613_111202-DC-37.wav,True,LblRed0613,2011-12-02,DC,37
LblRed0613_110920-WhineC-01.wav,True,LblRed0613,2011-09-20,WhineC,01
GraLbl0457_110603-Song-13.wav,True,GraLbl0457,2011-06-03,Song,13
HPiHPi4748_110706-NestC-32.wav,True,HPiHPi4748,2011-07-06,NestC,32
GreGre6364_130416-Te-08.wav,True,GreGre6364,2013-04-16,Te,08
PurRas20dd_110411-TetC-04.wav,True,PurRas20dd,2011-04-11,TetC,04
LblRed0613_110920-NestSeq-36.wav,True,LblRed0613,2011-09-20,NestSeq,36
BlaLbl8026_110429-AggC-04.wav,True,BlaLbl8026,2011-04-29,AggC,04
PurRas20dd_110411-TetC-15.wav,True,PurRas20dd,2011-04-11,TetC,15
HPiHPi4748_110801-ThuckC-28.wav,True,HPiHPi4748,2011-08-01,ThuckC,28
BlaBla0506_110302-TetC-10.wav,True,BlaBla0506,2011-03-02,TetC,10
WhiBlu4818_110329-TetC-18.wav,True,WhiBlu4818,2011-03-29,TetC,18
YelGre5275_110620-Song-30.wav,True,YelGre5275,2011-06-20,Song,30
BluRas61dd_110511-Song-19.wav,True,BluRas61dd,2011-05-11,Song,19
BlaBla0506_110304-DC-21.wav,True,BlaBla0506,2011-03-04,DC,21
WhiRas44dd_110706-NestC-08.wav,True,WhiRas44dd,2011-07-06,NestC,08
GraGra0201_110616-TukC-01.wav,True,GraGra0201,2011-06-16,TukC,01
LblBla4419_130416-DC-18.wav,True,LblBla4419,2013-04-16,DC,18
BluRas07dd_110425-DC-08.wav,True,BluRas07dd,2011-04-25,DC,08
WhiBlu5698_110304-NeKakleC-04.wav,True,WhiBlu5698,2011-03-04,NeKakleC,04
PurRas20dd_110429-DC-11.wav,True,PurRas20dd,2011-04-29,DC,11
PurRas20dd_110429-DC-14.wav,True,PurRas20dd,2011-04-29,DC,14
YelGre5275_110701-DC-18.wav,True,YelGre5275,2011-07-01,DC,18
LblRed0613_110922-AggC-11.wav,True,LblRed0613,2011-09-22,AggC,11
HPiHPi4748_110616-TetC-28.wav,True,HPiHPi4748,2011-06-16,TetC,28
GraGra0201_110630-DC-26.wav,True,GraGra0201,2011-06-30,DC,26
LblRed0613_110920-WhineC-05.wav,True,LblRed0613,2011-09-20,WhineC,05
GreOra1817_110615-TetC-02.wav,True,GreOra1817,2011-06-15,TetC,02
GraGra0201_110620-TetC-25.wav,True,GraGra0201,2011-06-20,TetC,25
LblBla4419_130416-DC-10.wav,True,LblBla4419,2013-04-16,DC,10
WhiLbl0010_110425-Tet-20.wav,True,WhiLbl0010,2011-04-25,Tet,20
WhiBlu4917_110328-DC-19.wav,True,WhiBlu4917,2011-03-28,DC,19
HPiHPi4748_110616-TetC-26.wav,True,HPiHPi4748,2011-06-16,TetC,26
BlaLbl8026_110609-WhineC-07.wav,True,BlaLbl8026,2011-06-09,WhineC,07
LblBla4419_130416-Ne-10.wav,True,LblBla4419,2013-04-16,Ne,10
WhiWhi1415_110329-DC-02.wav,True,WhiWhi1415,2011-03-29,DC,02
GreGre2522_130416-Te-19.wav,True,GreGre2522,2013-04-16,Te,19
GreOra1817_110729-ThukC-43.wav,True,GreOra1817,2011-07-29,ThukC,43
BluRas07dd_110607-TukC-10.wav,True,BluRas07dd,2011-06-07,TukC,10
HPiHPi4748_110706-AggC-28.wav,True,HPiHPi4748,2011-07-06,AggC,28
WhiLbl0010_110607-TukC-12.wav,True,WhiLbl0010,2011-06-07,TukC,12
WhiBlu4818_110329-TetC-20.wav,True,WhiBlu4818,2011-03-29,TetC,20
HPiHPi4748_110914-ThuckC-18.wav,True,HPiHPi4748,2011-09-14,ThuckC,18
BluRas61dd_110607-TukC-02.wav,True,BluRas61dd,2011-06-07,TukC,02
GraGra0201_110623-NestCSeq-36.wav,True,GraGra0201,2011-06-23,NestCSeq,36
GraLbl0457_110411-TetC-06.wav,True,GraLbl0457,2011-04-11,TetC,06
WhiRas44dd_110815-ThuckC-49.wav,True,WhiRas44dd,2011-08-15,ThuckC,49
LblRed0613_110920-So-29.wav,True,LblRed0613,2011-09-20,So,29
